verb	label
be	i
have	i
work	-1
do	i
go	i
exist	-1
support	i
use	-1
need	i
look	-1
become	-1
change	-1
try	-1
tend	-1
help	-1
talk	-1
lead	-1
disagree	a
fail	-1
want	i
start	i
put	-1
study	-1
back	i
rely	-1
describe	a
focus	-1
test	-1
disprove	a
apply	-1
create	-1
speak	i
cover	-1
contain	-1
run	-1
matter	-1
stop	-1
produce	-1
end	-1
spend	-1
lack	-1
contradict	a
cost	-1
fit	-1
refer	-1
examine	-1
address	-1
turn	-1
account	-1
compare	-1
leave	-1
match	-1
progress	-1
define	i
move	-1
improve	-1
identify	i
vary	-1
reach	-1
deal	-1
link	-1
yield	i
conduct	-1
evolve	-1
increase	-1
draw	i
suffer	-1
consist	-1
reference	-1
list	-1
seek	-1
send	-1
approach	-1
attempt	-1
benefit	-1
raise	-1
solve	-1
drive	-1
operate	-1
arise	-1
replicate	i
fuck	-1
sound	-1
build	i
share	i
push	i
save	-1
analyze	i
encourage	-1
explore	-1
reduce	-1
carry	-1
capture	-1
base	-1
constitute	-1
pay	-1
hurt	-1
correlate	-1
sit	-1
reject	i
aim	-1
concern	-1
rank	-1
highlight	a
validate	a
differ	-1
depend	-1
serve	-1
win	-1
equalize	-1
differentiate	-1
achieve	-1
grow	-1
force	-1
collect	-1
refute	a
break	-1
flip	-1
revolve	-1
throw	-1
limit	-1
influence	-1
evaluate	-1
treat	-1
impact	-1
view	-1
open	-1
suck	-1
bother	-1
review	-1
investigate	-1
collapse	-1
control	-1
pick	-1
lean	-1
alter	-1
pass	-1
sway	-1
paint	i
place	-1
expose	-1
hang	-1
invalidate	-1
face	-1
perform	-1
align	-1
prevent	-1
beat	-1
feature	-1
simulate	-1
avoid	-1
buy	-1
fill	-1
touch	-1
prohibit	-1
struggle	-1
replace	-1
violate	-1
frame	-1
incorporate	-1
mislead	-1
wear	-1
stem	-1
discount	-1
praise	-1
generate	-1
meet	-1
demand	-1
lose	-1
hide	-1
manage	-1
ban	-1
switch	-1
coexist	-1
target	-1
appeal	-1
correct	-1
fight	-1
dismiss	a
stack	-1
form	-1
minimize	-1
clarify	i
track	-1
promote	-1
analyse	i
stay	-1
remove	-1
fly	-1
stick	-1
earn	-1
disqualify	-1
design	-1
connect	-1
qualify	i
strike	-1
attribute	i
arrive	-1
function	-1
theorize	a
die	-1
assign	-1
deliver	-1
receive	-1
summarize	a
oppose	-1
group	-1
accomplish	-1
detail	i
unearth	i
adhere	-1
further	i
scream	-1
pull	-1
return	-1
last	-1
cut	-1
filter	-1
name	-1
falsify	a
gain	-1
educate	i
engage	-1
encompass	-1
succeed	i
search	-1
leak	i
visit	-1
punish	-1
biased	-1
translate	-1
fix	-1
debunk	a
kill	-1
behave	-1
outweigh	-1
induce	i
sum	-1
abound	-1
blame	-1
access	-1
shape	-1
eliminate	-1
model	-1
classify	-1
construct	-1
harm	-1
regard	i
invest	-1
hit	-1
separate	-1
reinforce	a
proceed	-1
owe	-1
lend	-1
incentivize	-1
label	-1
invent	-1
permit	-1
conflict	-1
conflate	-1
ruin	-1
arent	-1
deceive	-1
sell	-1
handle	-1
weigh	-1
boil	-1
practice	-1
endorse	i
introduce	i
defeat	-1
trend	-1
combine	-1
live	-1
pose	-1
spread	-1
utilize	-1
exonerate	-1
ridicule	-1
spit	-1
laugh	-1
starve	-1
disappear	-1
organize	-1
synthesize	-1
vote	-1
step	-1
circumvent	-1
impair	-1
pertain	-1
assist	-1
understate	-1
discourage	-1
pique	-1
quantify	-1
line	-1
surface	-1
oversimplify	-1
cease	-1
preserve	-1
dare	-1
explode	-1
listen	-1
pile	-1
contingent	-1
compete	-1
refuse	-1
blow	-1
skew	-1
stifle	-1
award	-1
shed	-1
destroy	-1
is*	-1
overlap	-1
spot	-1
worry	-1
equate	-1
predispose	-1
walk	-1
feed	-1
override	-1
curve	-1
comb	-1
damn	-1
interest	-1
steal	-1
drop	-1
pop	-1
diminish	-1
simplify	-1
experience	-1
overturn	-1
harrass	-1
rate	-1
interpret	-1
locate	-1
date	-1
concentrate	-1
pursue	-1
mesh	-1
vindicate	-1
protect	-1
employ	-1
act	-1
reward	-1
cheat	-1
hire	-1
split	-1
adapt	-1
expand	-1
dig	-1
tie	-1
originate	-1
train	-1
lump	-1
infect	-1
extend	-1
interact	-1
mix	-1
trace	-1
exaggerate	-1
post	-1
deem	-1
dominate	-1
prevail	-1
object	-1
factor	-1
travel	-1
flow	-1
purport	-1
screw	-1
stagger	-1
speed	-1
coincide	-1
celebrate	-1
pinpoint	-1
divide	-1
transfer	-1
freak	-1
isolate	-1
enable	-1
specialize	-1
prescribe	-1
edit	-1
absent	-1
invite	-1
marginalise	-1
prop	-1
peer	-1
undermine	-1
graduate	-1
flaw	-1
standup	-1
penalize	-1
prompt	-1
research	-1
compair	-1
grade	-1
polling	-1
consume	-1
demote	-1
reanalyze	-1
fringe	-1
survive	-1
reconcile	-1
ramp	-1
forge	-1
under-estimate	-1
march	-1
embrace	-1
swing	-1
standardize	-1
confound	-1
complement	-1
comprise	-1
cancel	-1
arrest	-1
police	-1
persist	-1
spirale	-1
favour	-1
side	-1
bar	-1
leap	-1
pinch	-1
shake	-1
transform	-1
exercise	-1
scrub	-1
direct	-1
undergo	-1
revive	-1
resist	-1
groundbreak	-1
fascinate	-1
conceal	-1
fiddle	-1
republish	-1
fool	-1
attract	-1
word	-1
recognise	-1
cauterize	-1
authorize	-1
attack	-1
pitch	-1
outpace	-1
polarize	-1
unfold	-1
catathrow	-1
click	-1
tooling	-1
chime	-1
isnt	-1
smack	-1
precede	-1
implement	-1
clean	-1
overcome	-1
file	-1
assuage	-1
derive	-1
print	-1
spur	-1
lecture	-1
update	-1
revisit	-1
revamp	-1
accounting	-1
warning	-1
scale	-1
adjust	-1
operationalize	-1
occure	-1
*utilize	-1
de-publish	-1
misinform	-1
mistreat	-1
memorize	-1
prioritize	-1
wonder	-1
spark	-1
conform	-1
seal	-1
stumble	-1
avail	-1
beggin	-1
regulate	-1
damage	-1
accelerate	-1
react	-1
privatize	-1
underdetermine	-1
sail	-1
pressure	-1
elucidate	-1
possess	-1
mount	-1
negate	-1
lift	-1
joke	-1
pver	-1
not*	-1
manipulate	-1
administer	-1
accommodate	-1
transcribe	-1
commoditise	-1
burn	-1
salatan	-1
overstate	-1
accuse	-1
transpose	-1
welcome	-1
engineer	-1
puise	-1
delete	-1
hail	-1
overtake	-1
span	-1
pour	-1
govern	-1
voting	-1
inhibit	-1
censor	-1
confidence	-1
cross	-1
normalize	-1
swim	-1
wrestle	-1
rest	-1
grouping	-1
tap	-1
shut	-1
networking	-1
compensate	-1
encounter	-1
recreate	-1
tangle	-1
nut	-1
complicated	-1
categorize	-1
net	-1
dip	-1
lambast	-1
jump	-1
latch	-1
impede	-1
bode	-1
structure	-1
tax	-1
swore	-1
interrogate	-1
beleive	-1
condemn	-1
bomb	-1
rob	-1
abstract	-1
lag	-1
guide	-1
ponder	-1
~~will	-1
evoke	-1
frustrate	-1
wrap	-1
stare	-1
skim	-1
grueling	-1
evaluation	-1
haunt	-1
bite	-1
conceed	-1
criticise	-1
phase	-1
assertion	-1
secure	-1
setcle	-1
purify	-1
obtain	-1
drill	-1
excoriate	-1
toe	-1
subscribe	-1
rise	-1
nurture	-1
shepherd	-1
strip	-1
tore	-1
transition	-1
ride	-1
identife	-1
posture	-1
trigger	-1
broaden	-1
pale	-1
trol	-1
misuse	-1
kick	-1
i'	-1
shift	-1
indoctrinate	-1
marvel	-1
modify	-1
enforce	-1
thrive	-1
zeroing	-1
stonewall	-1
kidnap	-1
abstain	-1
belong	-1
underpin	-1
tasking	-1
map	-1
undercut	-1
issue	-1
steer	-1
unto	-1
dub	-1
roll	-1
critisize	-1
hedge	-1
screech	-1
launder	-1
nod	-1
poke	-1
pedal	-1
theorise	-1
spin	-1
interrupt	-1
fulfill	-1
punch	-1
injure	-1
flatten	-1
embarrass	-1
intertwine	-1
adjudicate	-1
fake	-1
inspire	-1
recruit	-1
mock	-1
anger	-1
tally	-1
pair	-1
bounce	-1
dissect	-1
allude	-1
plug	-1
entertain	-1
boom	-1
warmonger	-1
defend	-1
pimp	-1
falter	-1
resort	-1
cook	-1
immigrate	-1
counter	-1
inculcate	-1
fire	-1
identity	-1
blind	-1
dam	-1
fabricate	-1
wait	-1
disparage	-1
rewrite	-1
for*	-1
shout	-1
fare	-1
sing	-1
intersect	-1
negotiate	-1
astounding	-1
donate	-1
misrepresent	-1
defer	-1
erod	-1
waste	-1
cross-	-1
finish	-1
fade	-1
confuse	-1
complete	-1
comply	-1
knock	-1
discard	-1
select	-1
disenfranchise	-1
yeild	-1
aggregate	-1
unlock	-1
motivate	-1
contridict	-1
mature	-1
reap	-1
homeschool	-1
descend	-1
probing	-1
render	-1
bolster	-1
pillory	-1
mandate	-1
debase	-1
peg	-1
cane	-1
patent	-1
eat	-1
park	-1
archive	-1
depict	-1
life	-1
doom	-1
mask	-1
bridge	-1
sponsor	-1
slander	-1
pit	-1
retire	-1
stream	-1
clone	-1
block	-1
migrate	-1
catalogue	-1
weed	-1
redefine	-1
price	-1
compelling	-1
flesh	-1
tamper	-1
discriminate	-1
weight	-1
suffice	-1
vouch	-1
illicit	-1
tow	-1
science	-1
sample	-1
hinge	-1
upset	-1
blackbal	-1
load	-1
retract	-1
outmodel	-1
dismantle	-1
tailor	-1
entitle	-1
dehumanize	-1
upsetting	-1
balance	-1
converge	-1
tempt	-1
disregard	-1
deduct	-1
cohere	-1
dedicate	-1
email	-1
prepare	-1
trump	-1
allot	-1
amass	-1
_intend_	-1
adopt	-1
defy	-1
chase	-1
close	-1
toy	-1
encapsulate	-1
collaborate	-1
inflame	-1
conclusion	-1
worse	-1
flag	-1
generalize	-1
ground	-1
implode	-1
devote	-1
float	-1
